dept,category,subCategory,item,SUPPLIER,ORIGIN_COUNTRY_ID,LOC,store,country,state,district,year,month,week,Transaction Date,Item Cost,Original Retail,Sales Retail,finalRetailPrice,AV_COST,STOCK_ON_HAND,salesQuantity,Gross Margin%,Markdown,Markdown % (Discount),Margin,Margin% (on Selling Price),Markup% (on Avg Cost),Inv Turns,Inventory Classification(A/B/C),size,SELLING_UOM,ITEM_PARENT,ITEM_GRANDPARENT,PACK_IND,ITEM_LEVEL,TRAN_LEVEL,DIFF_1,DIFF_1_AGGREGATE_IND,DIFF_2,DIFF_2_AGGREGATE_IND,DIFF_3,DIFF_3_AGGREGATE_IND,DIFF_4,DIFF_4_AGGREGATE_IND,STATUS,Description,Secondary Description,SHORT_DESC,DESC_UP,RETAIL_ZONE_GROUP_ID,Cost Zone Group ID,shortDesc,STANDARD_UOM,MERCHANDISE_IND,ORIGINAL_RETAIL,MFG_REC_RETAIL,CATCH_WEIGHT_IND,SIMPLE_PACK_IND,SELLABLE_IND,ORDERABLE_IND,PACK_TYPE,CREATE_DATETIME,CHECK_UDA_IND,INVENTORY_IND,LOC_TYPE,MULTI_UNITS,MULTI_UNIT_RETAIL,MULTI_SELLING_UOM,SELLING_UOM,CLEAR_IND,TAXABLE_IND,LOCAL_ITEM_DESC,LOCAL_SHORT_DESC,TI,HI,STORE_ORD_MULT,STATUS,Transaction Date,DAILY_WASTE_PCT,MEAS_OF_EACH,MEAS_OF_PRICE,UOM_OF_PRICE,PRIMARY_VARIANT,PRIMARY_COST_PACK,PRIMARY_SUPP,PRIMARY_CNTRY,RECEIVE_AS_TYPE,INBOUND_HANDLING_DAYS,SOURCE_METHOD,SOURCE_WH,STORE_PRICE_IND,UIN_TYPE,UIN_LABEL,CAPTURE_TIME,EXT_UIN_IND,ITEM_PARENT,ITEM_GRANDPARENT,SOH_UPDATE_DATETIME,LAST_HIST_EXPORT_DATE,IN_TRANSIT_QTY,PACK_COMP_INTRAN,PACK_COMP_SOH,TSF_RESERVED_QTY,PACK_COMP_RESV,TSF_EXPECTED_QTY,PACK_COMP_EXP,RTV_QTY,NON_SELLABLE_QTY,CUSTOMER_RESV,CUSTOMER_BACKORDER,PACK_COMP_CUST_RESV,PACK_COMP_CUST_BACK,FIRST_RECEIVED,LAST_RECEIVED,QTY_RECEIVED,FIRST_SOLD,LAST_SOLD,QTY_SOLD,PRIMARY_SUPP,PRIMARY_CNTRY,AVERAGE_WEIGHT,FINISHER_AV_RETAIL,FINISHER_UNITS,PACK_COMP_NON_SELLABLE
Men,Clothing,Formal Shirts,100242951,11101,US,2234,High Street,India,Karnataka,Bangalore,2013,Sep,2,Sep/2013,0,0,0,0,10,590,2,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,XL,EA,,,N,1,1,,N,,N,,N,,N,A,oracle,,oracle,ORACLE,1,1000,Black Coffee Formal Shirt,EA,Y,0,11,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,black:medium,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,44401,US,,,,0
Women,Clothing,Dresses,100241867,11101,US,2234,High Street,India,Karnataka,Bangalore,2013,Nov,4,Nov/2013,0,0,0,0,10,1090,1,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,L,EA,,,Y,1,1,,N,,N,,N,,N,A,simple pack,,simple pack,SIMPLE PACK,1,1000,Oliver Short Dress,EA,Y,0,,N,Y,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,Fashion Item:White:small,Fashion Item:White:small,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,44401,US,,,,0
Women,Clothing,Dresses,100241879,11101,US,2234,High Street,India,Karnataka,Bangalore,2014,Sep,1,Sep/2014,0,0,0,0,1,2000,1,#DIV/0!,0,0,-1,#DIV/0!,-100,0,,3XL,EA,100241872,,N,2,2,,N,,N,,N,,N,A,abd,,abd,ABD,1,1000,Miss Selridge White Bodycon,EA,Y,0,,N,N,Y,Y,,21 Mar 13,,Y,S,,,,EA,N,Y,Fashion Item:black:small,Fashion Item:black:small,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,US,,,,0
Kids,Clothing,Boys,100230343,33302,IN,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Aug,4,Aug/2013,100,125,125,112.5,100,2500,1,0,12.5,0.13,25,20,25,0.0004,,4XL,EA,,,N,1,1,,N,,N,,N,,N,A,SEQA_13.2.6_Staple item2,,SEQA_13.2.6_Staple item2,SEQA_13.2.6_STAPLE ITEM2,1,1000,Gini & Jony Casual Yellow Shirt,EA,Y,125,10,N,N,Y,Y,,1 Mar 13,Y,Y,S,,,,EA,N,Y,rs trail item 5,rs trail item 5,1,1,E,A,28 May 13,,,,,,,33302,IN,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Home,Home Furnishing,Bedding Sets,100232334,11101,CA,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Jul,1,Jul/2014,300,375,375,337.5,100,100000,1,0.01,37.5,0.38,275,73.33,275,0.00003,,3XL,EA,,,N,1,1,,N,,N,,N,,N,A,reg,,reg,REG,1,1000,Hermoso Imperial Premium,EA,Y,375,,N,N,Y,Y,,6 Mar 13,Y,Y,S,,,,EA,N,Y,reg,reg,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Kids,Clothing,Girls,100230037,11101,IN,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Oct,2,Oct/2013,200,250,250,225,2,1800,1,0.01,25,0.25,248,99.2,12400,0.055556,,3XL,EA,,,N,1,1,,N,,N,,N,,N,A,rs trail item 5,,rs trail item 5,RS TRAIL ITEM 5,1,1000,Cute Cucumber Blue Top,EA,Y,250,,N,N,Y,Y,,28 Feb 13,Y,Y,S,,,,KG,N,Y,cw1,cw1,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,IN,,,,0
Men,Clothing,Formal Shirts,100229834,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Apr,4,Apr/2013,100,125,125,112.5,100,150,2,0,12.5,0.13,25,20,25,0.013333,,L,EA,,,N,1,1,,N,,N,,N,,N,A,deposit return,,deposit return,DEPOSIT RETURN,1,1000,John Players Blue Formal,EA,Y,125,,N,N,Y,N,,28 Feb 13,,Y,S,,,,EA,N,Y,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,3,4,E,A,28 May 13,,,,,,,33301,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Men,Watches,Digital Watches,100231935,22202,CA,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Oct,2,Oct/2013,102,127.5,127.5,114.75,20,100,1,0.01,12.75,0.13,107.5,84.31,537.5,0.051,,L,EA,,,Y,1,1,,N,,N,,N,,N,A,Electric Bulbs,,Electric Bulbs,ELECTRIC BULBS,1,,Timex Grey Digital Watch,EA,Y,127.5,10,N,N,Y,Y,B,6 Mar 13,,Y,S,,,,EA,N,Y,item_pak_size_10,item_pak_size_10,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Women,Clothing,Dresses,100233250,22202,IN,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Jan,4,Jan/2013,101,126.25,126.25,113.625,1,0,-1,0.01,12.63,0.13,125.25,99.21,12525,#DIV/0!,,XXL,EA,,,N,1,1,,N,,N,,N,,N,A,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,AIP - MODULAR KITCHEN SETUP,1,1000,Dorothy Perkins Floral Dress,EA,Y,126.25,100,N,N,Y,Y,,8 Mar 13,Y,Y,S,,,,EA,N,Y,reg,reg,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33301,US,,,,0
Men,Clothing,Formal Shirts,100232739,22202,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Sep,3,Sep/2014,100,125,125,112.5,100,10,1,0,12.5,0.13,25,20,25,0.1,,3XL,EA,,,N,1,1,,N,,N,,N,,N,A,cw1,,cw1,CW1,1,1000,London Bridge Formal Shirt,KG,Y,125,,Y,N,Y,Y,,7 Mar 13,,Y,S,,,,EA,N,Y,new 2,new 2,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Sports,Apparel,Jersey,100237744,33301,CA,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Dec,2,Dec/2014,402,502.5,502.5,452.25,1,25,-1,0.01,50.25,0.5,501.5,99.8,50150,-16.08,,5XL,KG,,,N,1,1,,N,,N,,N,,N,A,Consignment_44223,,Consignment_44223,CONSIGNMENT_44223,1,1000,Nabaji Football Jersey,EA,Y,502.5,100,N,N,Y,N,,15 Mar 13,,N,S,,,,EA,N,Y,new 6,new 6,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,US,,,,0
Home,Home Furnishing,Bedding Sets,100236463,33301,IN,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,May,3,May/2013,400,500,500,450,10,160,1,0.01,50,0.5,490,98,4900,0.25,,M,EA,,,Y,1,1,,N,,N,,N,,N,A,sp,,sp,SP,1,1000,Truhome,EA,Y,500,1232,N,Y,Y,Y,V,14 Mar 13,N,Y,S,,,,EA,N,Y,new 10,new 10,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240648,33301,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Jan,4,Jan/2013,401,501.25,501.25,451.125,10,200,-1,0.01,50.13,0.5,491.25,98,4912.5,-0.2005,,S,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item1,,test pos item1,TEST POS ITEM1,1,1000,Vero Moda Black Sleeveless Dress,EA,Y,501.25,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I9,I9,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240649,44401,CA,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Apr,4,Apr/2014,503,628.75,628.75,565.875,10,0,1,0.01,62.88,0.63,618.75,98.41,6187.5,#DIV/0!,,L,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item2,,test pos item2,TEST POS ITEM2,1,1000,Miss Bennet Maroon Dress,EA,Y,628.75,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I11,I11,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240650,44401,IN,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Dec,2,Dec/2013,501,626.25,626.25,563.625,10,0,1,0.01,62.63,0.63,616.25,98.4,6162.5,#DIV/0!,,XS,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item2,,test pos item2,TEST POS ITEM2,1,1000,Minamax red Jumpsuit,EA,Y,626.25,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I12,I12,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100242045,44401,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Jul,3,Jul/2013,500,625,625,562.5,10,100,5,0.25,62.5,0.63,615,98.4,6150,2.5,,L,EA,,,Y,1,1,,N,,N,,N,,N,A,test complex pack,,test complex pack,TEST COMPLEX PACK,1,1000,Mango Maroon Dress,EA,Y,625,,N,N,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,xperiaT,xperiaT,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,100266151,,18 Jun 13,,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100242746,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Apr,2,Apr/2014,0,0,0,0,10,500,5,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,S,EA,,,N,1,1,,N,,N,,N,,N,A,supp exp,,supp exp,SUPP EXP,1,1000,Global Desi Indigo Dress,EA,Y,0,,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,White:small,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,100266151,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Home,Home Furnishing,Bedding Sets,100242745,33301,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,May,4,May/2014,50,62.5,62.5,56.25,10,225,6,0.3,6.25,0.06,52.5,84,525,0.133333,,XL,EA,,,N,1,1,,N,,N,,N,,N,A,reg,,reg,REG,1,1000,Portico 6 piece set,EA,Y,62.5,,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,White:medium,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,100266151,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Men,Clothing,Formal Shirts,100241894,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Aug,4,Aug/2013,100,125,125,112.5,100,556,-7,0.05,12.5,0.13,25,20,25,-0.01259,,XXL,EA,,,Y,1,1,,N,,N,,N,,N,A,Deposit complex pack,,Deposit complex pack,DEPOSIT COMPLEX PACK,1,1000,Arrow Lavendar Shirt,EA,Y,125,,N,N,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,black:small,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Men,Clothing,Formal Shirts,100242951,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Aug,2,Aug/2013,0,0,0,0,10,590,10,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,4XL,EA,,,N,1,1,,N,,N,,N,,N,A,oracle,,oracle,ORACLE,1,1000,Black Coffee Formal Shirt,EA,Y,0,11,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,black:medium,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,44401,US,,,,0
Women,Clothing,Dresses,100241867,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2014,Oct,4,Oct/2014,0,0,0,0,10,1090,-10,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,XS,EA,,,Y,1,1,,N,,N,,N,,N,A,simple pack,,simple pack,SIMPLE PACK,1,1000,Oliver Short Dress,EA,Y,0,,N,Y,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,Fashion Item:White:small,Fashion Item:White:small,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,44401,US,,,,0
Women,Clothing,Dresses,100241879,11101,US,2235,Neighbourhood Store,India,Karnataka,Mysore,2013,Apr,1,Apr/2013,0,0,0,0,1,2000,1,#DIV/0!,0,0,-1,#DIV/0!,-100,0,,S,EA,100241872,,N,2,2,,N,,N,,N,,N,A,abd,,abd,ABD,1,1000,Miss Selridge White Bodycon,EA,Y,0,,N,N,Y,Y,,21 Mar 13,,Y,S,,,,EA,N,Y,Fashion Item:black:small,Fashion Item:black:small,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,US,,,,0
Kids,Clothing,Boys,100230343,33302,IN,2236,Mall Store,India,Karnataka,Hubli,2014,Apr,2,Apr/2014,100,125,125,112.5,100,2500,3,0.01,12.5,0.13,25,20,25,0.0012,,XL,EA,,,N,1,1,,N,,N,,N,,N,A,SEQA_13.2.6_Staple item2,,SEQA_13.2.6_Staple item2,SEQA_13.2.6_STAPLE ITEM2,1,1000,Gini & Jony Casual Yellow Shirt,EA,Y,125,10,N,N,Y,Y,,1 Mar 13,Y,Y,S,,,,EA,N,Y,rs trail item 5,rs trail item 5,1,1,E,A,28 May 13,,,,,,,33302,IN,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Home,Home Furnishing,Bedding Sets,100232334,11101,CA,2236,Mall Store,India,Karnataka,Hubli,2013,Oct,5,Oct/2013,300,375,375,337.5,100,100000,5,0.18,37.5,0.38,275,73.33,275,0.00015,,4XL,EA,,,N,1,1,,N,,N,,N,,N,A,reg,,reg,REG,1,1000,Hermoso Imperial Premium,EA,Y,375,,N,N,Y,Y,,6 Mar 13,Y,Y,S,,,,EA,N,Y,reg,reg,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Kids,Clothing,Girls,100230037,11101,IN,2236,Mall Store,India,Karnataka,Hubli,2014,Dec,5,Dec/2014,200,250,250,225,2,1800,5,0.25,25,0.25,248,99.2,12400,0.277778,,Free Size,EA,,,N,1,1,,N,,N,,N,,N,A,rs trail item 5,,rs trail item 5,RS TRAIL ITEM 5,1,1000,Cute Cucumber Blue Top,EA,Y,250,,N,N,Y,Y,,28 Feb 13,Y,Y,S,,,,KG,N,Y,cw1,cw1,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,IN,,,,0
Men,Clothing,Formal Shirts,100229834,11101,US,2236,Mall Store,India,Karnataka,Hubli,2014,Nov,3,Nov/2014,100,125,125,112.5,100,150,10,0.11,12.5,0.13,25,20,25,0.066667,,S,EA,,,N,1,1,,N,,N,,N,,N,A,deposit return,,deposit return,DEPOSIT RETURN,1,1000,John Players Blue Formal,EA,Y,125,,N,N,Y,N,,28 Feb 13,,Y,S,,,,EA,N,Y,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,3,4,E,A,28 May 13,,,,,,,33301,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Men,Watches,Digital Watches,100231935,22202,CA,2236,Mall Store,India,Karnataka,Hubli,2013,Aug,4,Aug/2013,102,127.5,127.5,114.75,20,100,-5,0.21,12.75,0.13,107.5,84.31,537.5,-0.255,,S,EA,,,Y,1,1,,N,,N,,N,,N,A,Electric Bulbs,,Electric Bulbs,ELECTRIC BULBS,1,,Timex Grey Digital Watch,EA,Y,127.5,10,N,N,Y,Y,B,6 Mar 13,,Y,S,,,,EA,N,Y,item_pak_size_10,item_pak_size_10,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Women,Clothing,Dresses,100233250,22202,IN,2236,Mall Store,India,Karnataka,Hubli,2014,Apr,1,Apr/2014,101,126.25,126.25,113.625,1,0,1,0.01,12.63,0.13,125.25,99.21,12525,#DIV/0!,,S,EA,,,N,1,1,,N,,N,,N,,N,A,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,AIP - Modular Kitchen Setup,AIP - MODULAR KITCHEN SETUP,1,1000,Dorothy Perkins Floral Dress,EA,Y,126.25,100,N,N,Y,Y,,8 Mar 13,Y,Y,S,,,,EA,N,Y,reg,reg,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33301,US,,,,0
Men,Clothing,Formal Shirts,100232739,22202,US,2236,Mall Store,India,Karnataka,Hubli,2013,Mar,2,Mar/2013,100,125,125,112.5,100,10,1,0,12.5,0.13,25,20,25,0.1,,L,EA,,,N,1,1,,N,,N,,N,,N,A,cw1,,cw1,CW1,1,1000,London Bridge Formal Shirt,KG,Y,125,,Y,N,Y,Y,,7 Mar 13,,Y,S,,,,EA,N,Y,new 2,new 2,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Sports,Apparel,Jersey,100237744,33301,CA,2236,Mall Store,India,Karnataka,Hubli,2014,Jul,2,Jul/2014,402,502.5,502.5,452.25,1,25,1,0.01,50.25,0.5,501.5,99.8,50150,16.08,,Free Size,KG,,,N,1,1,,N,,N,,N,,N,A,Consignment_44223,,Consignment_44223,CONSIGNMENT_44223,1,1000,Nabaji Football Jersey,EA,Y,502.5,100,N,N,Y,N,,15 Mar 13,,N,S,,,,EA,N,Y,new 6,new 6,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,33302,US,,,,0
Home,Home Furnishing,Bedding Sets,100236463,33301,IN,2236,Mall Store,India,Karnataka,Hubli,2014,Apr,1,Apr/2014,400,500,500,450,10,160,1,0.01,50,0.5,490,98,4900,0.25,,XS,EA,,,Y,1,1,,N,,N,,N,,N,A,sp,,sp,SP,1,1000,Truhome,EA,Y,500,1232,N,Y,Y,Y,V,14 Mar 13,N,Y,S,,,,EA,N,Y,new 10,new 10,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240648,33301,US,2236,Mall Store,India,Karnataka,Hubli,2014,Mar,4,Mar/2014,401,501.25,501.25,451.125,10,200,1,0.01,50.13,0.5,491.25,98,4912.5,0.2005,,XS,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item1,,test pos item1,TEST POS ITEM1,1,1000,Vero Moda Black Sleeveless Dress,EA,Y,501.25,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I9,I9,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240649,44401,CA,2236,Mall Store,India,Karnataka,Hubli,2014,Aug,1,Aug/2014,503,628.75,628.75,565.875,10,0,1,0.01,62.88,0.63,618.75,98.41,6187.5,#DIV/0!,,XL,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item2,,test pos item2,TEST POS ITEM2,1,1000,Miss Bennet Maroon Dress,EA,Y,628.75,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I11,I11,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100240650,44401,IN,2236,Mall Store,India,Karnataka,Hubli,2013,Jan,2,Jan/2013,501,626.25,626.25,563.625,10,0,1,0.01,62.63,0.63,616.25,98.4,6162.5,#DIV/0!,,S,EA,,,N,1,1,,N,,N,,N,,N,A,test pos item2,,test pos item2,TEST POS ITEM2,1,1000,Minamax red Jumpsuit,EA,Y,626.25,,N,N,Y,Y,,19 Mar 13,Y,Y,S,,,,EA,N,Y,I12,I12,2,2,E,A,28 May 13,,,,,,,33302,US,,,S,,N,,,,N,100266145,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100242045,44401,US,2236,Mall Store,India,Karnataka,Hubli,2013,May,5,May/2013,500,625,625,562.5,10,100,3,0.09,62.5,0.63,615,98.4,6150,1.5,,XXL,EA,,,Y,1,1,,N,,N,,N,,N,A,test complex pack,,test complex pack,TEST COMPLEX PACK,1,1000,Mango Maroon Dress,EA,Y,625,,N,N,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,xperiaT,xperiaT,1,1,E,A,28 May 13,,,,,,,11101,US,,,S,,N,,,,N,100266151,,18 Jun 13,,0,0,0,0,0,0,0,0,10,0,0,0,0,,,,,,,22201,US,,,,0
Women,Clothing,Dresses,100242746,11101,US,2236,Mall Store,India,Karnataka,Hubli,2013,Mar,2,Mar/2013,0,0,0,0,10,500,-1,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,L,EA,,,N,1,1,,N,,N,,N,,N,A,supp exp,,supp exp,SUPP EXP,1,1000,Global Desi Indigo Dress,EA,Y,0,,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,White:small,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,100266151,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Home,Home Furnishing,Bedding Sets,100242745,33301,US,2236,Mall Store,India,Karnataka,Hubli,2014,Jun,2,Jun/2014,50,62.5,62.5,56.25,10,225,-1,0.01,6.25,0.06,52.5,84,525,-0.022222,,XL,EA,,,N,1,1,,N,,N,,N,,N,A,reg,,reg,REG,1,1000,Portico 6 piece set,EA,Y,62.5,,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,White:medium,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,100266151,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,22201,US,,,,0
Men,Clothing,Formal Shirts,100241894,11101,US,2236,Mall Store,India,Karnataka,Hubli,2013,Sep,4,Sep/2013,100,125,125,112.5,100,556,1,0,12.5,0.13,25,20,25,0.001799,,4XL,EA,,,Y,1,1,,N,,N,,N,,N,A,Deposit complex pack,,Deposit complex pack,DEPOSIT COMPLEX PACK,1,1000,Arrow Lavendar Shirt,EA,Y,125,,N,N,Y,Y,V,21 Mar 13,,Y,S,,,,EA,N,Y,black:small,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,11101,US,,,,0
Men,Clothing,Formal Shirts,100242951,11101,US,2236,Mall Store,India,Karnataka,Hubli,2013,Mar,4,Mar/2013,0,0,0,0,10,590,1,#DIV/0!,0,0,-10,#DIV/0!,-100,0,,Free Size,EA,,,N,1,1,,N,,N,,N,,N,A,oracle,,oracle,ORACLE,1,1000,Black Coffee Formal Shirt,EA,Y,0,11,N,N,Y,Y,,22 Mar 13,,Y,S,,,,EA,N,Y,black:medium,Fashion Item,1,1,E,A,28 May 13,,,,,,,22201,US,,,S,,N,,,,N,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,44401,US,,,,0
